Name,Paved Path,Protected Bike Lane,Bike Lane,Marked Route,Unmarked Route,All Roads
River Heights,0,0,0.5,0,0.1,11.6
Riverdale,4.6,0,3.6,0,4.6,73
Riverton,18,0,18.4,0.7,8.3,199.5
Rockville,0,0,0,0,4.9,29
Rocky Ridge,0,0,0,0,0,10.7
Roosevelt,0,0,0.3,0,5.1,67.5
Roy,6.6,0,4.5,0,8.3,154.2
Rush Valley,0,0,0,0,0,47.6
Salem,7.9,0,3.3,0,3.8,120.7
Salina,4,0,0,0,6.6,82.9
Salt Lake City,58.4,3,131,41.3,19.4,905.5
Salt Lake County (Unincorporated),22.8,0,21.5,31.6,46.6,296.2
San Juan County (Unincorporated),0.5,0,0,0,130.4,8137.7
Sandy,16.6,0,23.2,1.5,34.5,417.4
Sanpete County (Unincorporated),0,0,0,0,66.8,3049.7
Santa Clara,3.7,0,3.7,0,4.1,58.2
Santaquin,3.2,0,1.1,0,4.8,117.6
Saratoga Springs,74,0,26.2,0.1,12.2,244.4
Scipio,0,0,0,0,0.8,19.1
Scofield,0,0,0,0,0,12.5
Sevier County (Unincorporated),21.4,0,0,0.1,53.6,3225.9
Sigurd,0,0,0,0,5.1,25
Smithfield,3.3,0,0,0,5.1,84.2
Snowville,0,0,0,0,0.4,6.5
South Jordan,53.6,0.2,37,1.3,21,411.5
South Ogden,1.8,0,1.4,0,11.8,74.1
South Salt Lake,9.2,0,12.8,0,7.2,121.4
South Weber,0.8,0,0.6,0,9.4,60.6
Spanish Fork,32.1,0,3.5,0,25.7,241.9
Spring City,0,0,0,0,0.9,26.5
Springdale,0,0,0.6,0,1.7,23.1
Springville,12.4,0,9.3,0.3,9.3,185.3
St. George,47.9,0,6.8,0,89.9,765.9
Sterling,0,0,0,0,0.2,4.9
Stockton,0,0,0,0,0.4,14.3
Summit County (Unincorporated),51.9,0,2,0,49.4,2819.5
Sunset,0,0,1.5,0,2.4,32.2
Syracuse,17.6,0,13.9,0,5.7,184.6
Tabiona,0,0,0,0,0,4.8
Taylorsville,7.5,0,4.1,0.1,16.7,215.9
Tooele,5.8,0,3.6,0,16.8,222.6
Tooele County (Unincorporated),2.7,0,1.7,0,52.6,5602.8
